,job_title,job_date,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,experience in years,gender,Salary
352,مدرس لغة أجنبية,09/04/1444,مدارس اضواء الهدايه للبنين والبنات الاهلية,1-1039368,خاص,متوسطة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,Unknown,الرياض,AR RIYADH...,"['Salary', '5600.0']",دوام كامل,0 / 6,20202026243174,2,Both,5600.0
353,بائع,09/04/1444,مؤسسة بسمه سعد الغامدي لتجارة الجملة و التجزئة,20-1432669,خاص,صغيرة فئة ب,تجارة الحلوى ، تشمل ( الحلوى العمانية والبحرينية ),Unknown,الباحة,BILJURASH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026243161,0,Male,4000.0
354,بائع,09/04/1444,مؤسسة تصميم الخزامى التجارية,2-1905211,خاص,صغيرة فئة ب,تقديم العصائر الطازجة و المشروبات الباردة,Unknown,الرياض,HAWTAT BA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026242935,0,Male,4000.0
355,بائع,09/04/1444,مؤسسة تصميم الخزامى التجارية,2-1905211,خاص,صغيرة فئة ب,تقديم العصائر الطازجة و المشروبات الباردة,Unknown,الرياض,HAWTAT BA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026242934,0,Male,4000.0
356,مشرف تنظيف وتدبير,09/04/1444,شركة أبراج العاليات للمقاولات,31-1942190,خاص,متوسطة فئة ب,الإنشاءات العامة للمباني السكنية,"['Skill data', 'التعامل مع الحاسب الالي بدقة ', 'متوسط', 'Language data', 'العربية ', 'متوسط', 'Professional certificate \\ License data', 'مؤهل علمي ', 'مفيد']",جازان,ABU AS SA...,"['Salary', '4500.0']",دوام كامل,0 / 1,20202026242824,2,Male,4500.0
357,مشرف صحة وسلامة مهنية,09/04/1444,شركة مجموعة زيد الحسين واخوانة للمقاولات,1-280523,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,"['Professional certificate \\ License data', 'عضوية الهيئة السعودية للمهندسين', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 5,20202026242698,0,Male,5500.0
358,سائق شاحنة صغيرة,09/04/1444,شركة مجموعة زيد الحسين واخوانة للمقاولات,1-280523,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,"['Professional certificate \\ License data', 'وجود رخصة نقل نقيل', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4800.0']",دوام كامل,0 / 10,20202026242682,0,Male,4800.0
359,أخصائي تسويق,09/04/1444,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,20-1681338,خاص,صغيرة فئة ب,مؤسسات الرفاه الاجتماعي (تحديد وتوزيع المساعدات الاجتماعية، الرعاية النهارية لذوي الاحتياجات الخاصة تبني الأطفال، الاستشارات للأسر والأفراد),Unknown,الباحة,AL BAHA...,"['Salary', '8803.0']",دوام كامل,0 / 1,20202026242596,0,Both,8803.0
360,فني ميكانيكي محركات,09/04/1444,مؤسسة جازي  للمقاولات,1-364401,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,Unknown,المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026242507,0,Male,4000.0
361,أخصائي عمليات موارد بشرية,09/04/1444,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,20-1681338,خاص,صغيرة فئة ب,مؤسسات الرفاه الاجتماعي (تحديد وتوزيع المساعدات الاجتماعية، الرعاية النهارية لذوي الاحتياجات الخاصة تبني الأطفال، الاستشارات للأسر والأفراد),Unknown,الباحة,AL BAHA...,"['Salary', '8803.0']",دوام كامل,0 / 1,20202026242489,0,Both,8803.0
362,فني كهربائي أنظمة حماية كهربائية,09/04/1444,مؤسسة جازي  للمقاولات,1-364401,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,Unknown,المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026242485,2,Male,4000.0
363,مساعد صحي,09/04/1444,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,13-23915,خاص,متوسطة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,"['Professional certificate \\ License data', 'تسجيل وتصنيف هيئة التخصصات الصحية ساري ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '4000.0']",دوام كامل,0 / 3,20202026242466,0,Female,4000.0
364,أخصائي مختبرات طبية,09/04/1444,مجمع إيلاف الطبي,12-1951168,خاص,صغيرة فئة ب,المجمعات الطبية العامة,Unknown,مكة المكرمة,AL WATAH...,"['Salary', '7000.0']",دوام كامل,0 / 2,20202026242305,0,Female,7000.0
365,أخصائي مختبرات طبية,08/04/1444,شركة العناية والرعاية الطبية شركة شخص واحد,30-1950443,خاص,صغيرة فئة أ,التشغيل الطبي للمجمعات الطبية ومراكز جراحة اليوم الواحد,"['Skill data', 'التواصل', 'محترف', 'تحمل ضغط العمل', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'شهادة تصنيف الهيئة السعودية', 'ضروري']",الجوف,AL QURAYY...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026242270,0,Female,5000.0
366,فني هندسة إلكترونية,08/04/1444,شركة أمن وسلامه للمقاولات,1-2367241,خاص,صغيرة فئة ب,البيع بالجملة للمعدات والتجهيزات الأمنية (للمنافسات الحكومية فقط),"['Skill data', 'ى', 'مبتدئ', 'Language data', 'انجليزى', 'مبتدئ', 'Professional certificate \\ License data', 'هيئة المهندسين السعوديين ', 'ضروري']",الرياض,ABA ASLAB...,"['Salary', '4000.0', 'Benefits', 'تامين طبي', 'تامينات', 'تدريب ']",دوام كامل,0 / 1,20202026242236,0,Both,4000.0
367,أخصائي مبيعات,08/04/1444,محل فوق المتوقع للهدايا,9-1786203,خاص,صغيرة فئة أ,البيع بالتجزئة للزهور والورود,"['Skill data', 'اجاده المهارات البيعيه', 'محترف', 'اجاده مهارات التواصل ', 'محترف']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'فرص للترقي وزياده الراتب والعمولات البيعيه']",دوام كامل,0 / 2,20202026242229,2,Female,4000.0
368,بائع مأكولات ومشروبات,09/04/1444,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,13-1991284,خاص,متوسطة فئة أ,محلات الوجبات السريعة ( تشمل محلات البيتزاء ),"['Skill data', 'القدرة على الاداء تحت الضغط', 'محترف', 'القدرة على التواصل الفعال مع الاخرين', 'محترف', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'شهادة الثانوية العامة', 'ضروري', 'الشهادة الصحية الموحدة', 'مفيد']",مكة المكرمة,MAKKAH AL...,"['Salary', '4000.0', 'Benefits', 'مكافئات شهرية', 'علاوات سنوية ']",دوام كامل,0 / 10,20202026242193,0,Both,4000.0
369,محاسب,08/04/1444,شركة العهد الجديد للتجارة والتسويق,1-2097690,خاص,صغيرة فئة أ,تقديم الخدمات اللوجستية البريدية,"['Skill data', 'إستخدام الإكسل', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تأمين طبي']",عمل عن بعد,0 / 1,20202026242157,2,Female,4000.0
370,مندوب مبيعات,08/04/1444,شركة العهد الجديد للتجارة والتسويق,1-2097690,خاص,صغيرة فئة أ,تقديم الخدمات اللوجستية البريدية,"['Skill data', 'التواصل', 'محترف', 'المفاوضات', 'متوسط', 'Language data', 'العربي', 'محترف']",الرياض,AR RIYADH...,"['Salary', '6000.0', 'Benefits', 'عمولة مبيعات، تأمين طبي']",دوام كامل,0 / 2,20202026242141,2,Both,6000.0
